iter	RMSE
0	1.01429136
1	1.009959168
2	1.006267908
3	1.003705678
4	1.000783767
5	0.9977249724
6	0.994444998
7	0.9914691913
8	0.9886440763
9	0.9854213346
10	0.9830563974
11	0.9811950431
12	0.9793281417
13	0.9773539475
14	0.9753894592
15	0.9736381916
16	0.970799145
17	0.9690339168
18	0.9665354872
19	0.964400707
20	0.9626902001
21	0.9605742051
22	0.9587150149
23	0.957471876
24	0.9563578097
25	0.9551355087
26	0.953994278
27	0.9530187785
28	0.9519826426
29	0.9503418867
30	0.9492773999
31	0.9482090003
32	0.9470612046
33	0.9456928064
34	0.9449458732
35	0.9438585905
36	0.9430101418
37	0.941523647
38	0.9405881287
39	0.9390646355
40	0.9384069097
41	0.9378294612
42	0.936952608
43	0.9362381415
44	0.9355796899
45	0.9344834717
46	0.9340438075
47	0.9329253383
48	0.9315408827
49	0.9302608144
50	0.9296573234
51	0.9289919379
52	0.9281462718
53	0.92711807
54	0.9266979488
55	0.9260156359
56	0.9253333821
57	0.9244130361
58	0.9237807719
59	0.9232691754
60	0.9222389622
61	0.9213939647
62	0.9198959973
63	0.9188665737
64	0.9182990203
65	0.9177946089
66	0.9172958265
67	0.9164025644
68	0.9159514138
69	0.9154079156
70	0.9148219923
71	0.914159777
72	0.9136307396
73	0.9131467962
74	0.9124783168
75	0.9116962408
76	0.9110328456
77	0.9104160926
78	0.9099208643
79	0.9090803707
80	0.9084125336
81	0.9079112697
82	0.9067722418
83	0.9056934677
84	0.9043389673
85	0.9038329137
86	0.9031270104
87	0.9025621785
88	0.9014087854
89	0.9006564599
90	0.9003257448
91	0.8994160632
92	0.8990859557
93	0.8987717574
94	0.8983775082
95	0.8977779612
96	0.8969124422
97	0.8956871273
98	0.8947395459
99	0.8941939733
100	0.8933956677
101	0.8930479928
102	0.8925422917
103	0.891519948
104	0.8905031741
105	0.8899868085
106	0.8895749725
107	0.8891261751
108	0.8885611172
109	0.8874892906
110	0.8870472304
111	0.886411736
112	0.885591211
113	0.8850069798
114	0.8845783952
115	0.8837919281
116	0.8828918955
117	0.88220882
118	0.881739093
119	0.8814059722
120	0.8807730882
121	0.8802807746
122	0.8799214995
123	0.8795300889
124	0.8790973053
125	0.8779039402
126	0.8770718642
127	0.8762334116
128	0.8759946782
129	0.8757065819
130	0.8751386163
131	0.8747853174
132	0.874602794
133	0.8743517354
134	0.873754137
135	0.8730774053
136	0.8724573359
137	0.8718929723
138	0.8711274469
139	0.8704503579
140	0.8700642793
141	0.8696551084
142	0.8692769641
143	0.8679721249
144	0.8674854128
145	0.8671990433
146	0.8669524404
147	0.8662453925
148	0.8656518755
149	0.8654499417
150	0.8648461125
151	0.8639726822
152	0.8632837564
153	0.8625742838
154	0.8617858942
155	0.861056991
156	0.8602673502
157	0.8597788753
158	0.8590802859
159	0.8586273589
160	0.8578086073
161	0.8566306123
162	0.856175119
163	0.8553723879
164	0.8550111561
165	0.854369474
166	0.8538661292
167	0.8534976467
168	0.8529568938
169	0.8522780994
170	0.8519005429
171	0.8516474051
172	0.8512015932
173	0.8503829481
174	0.8498713987
175	0.8488809826
176	0.8484496249
177	0.8478274993
178	0.8472931421
179	0.8464672364
180	0.8457374652
181	0.8451359763
182	0.8442634366
183	0.8433177573
184	0.8430331742
185	0.8428791121
186	0.8423229999
187	0.8419251736
188	0.8412049325
189	0.8406388977
190	0.8399182945
191	0.8395697371
192	0.8389541102
193	0.8385065954
194	0.8382351464
195	0.837324857
196	0.8365293785
197	0.8361377382
198	0.835995212
199	0.8351313083
200	0.8341487498
201	0.8337908525
202	0.8333893022
203	0.8329917027
204	0.8320931142
205	0.8314083442
206	0.8312049628
207	0.8305179591
208	0.8302242789
209	0.8299200608
210	0.8294801542
211	0.8291366318
212	0.8288812186
213	0.828610307
214	0.8284787417
215	0.8280679354
216	0.8276558758
217	0.8270252599
218	0.8263467555
219	0.8256412731
220	0.8253914902
221	0.8245252522
222	0.8242168269
223	0.8238816474
224	0.8224829694
225	0.8221328872
226	0.8217831989
227	0.8213603069
228	0.8206134545
229	0.8199805917
230	0.8196115399
231	0.819366298
232	0.8185733508
233	0.8181905618
234	0.8179129194
235	0.8177574926
236	0.8171365741
237	0.8168250041
238	0.8163859422
239	0.8160050332
240	0.8150150242
241	0.8144472775
242	0.8140709871
243	0.8136613718
244	0.8130828316
245	0.8127638417
246	0.8125075495
247	0.8118205437
248	0.811131651
249	0.8107843226
250	0.8101108626
251	0.809858209
252	0.8095063236
253	0.8088052155
254	0.8085417755
255	0.8082687224
256	0.8080011035
257	0.8074006047
258	0.8071384843
259	0.8068174447
260	0.8065614348
261	0.805998958
262	0.8056955877
263	0.805488871
264	0.8051649937
265	0.8049126228
266	0.8047258612
267	0.804045782
268	0.8033030386
269	0.8030927338
270	0.802756095
271	0.802434493
272	0.8021289978
273	0.8018377324
274	0.8012635768
275	0.8006160067
276	0.8003276646
277	0.8001141978
278	0.7998168467
279	0.7994997801
280	0.7992762423
281	0.7990084012
282	0.7981010252
283	0.7975428882
284	0.7972002476
285	0.797021012
286	0.7967441671
287	0.7961882089
288	0.7955482777
289	0.7948121098
290	0.7943756611
291	0.7941019518
292	0.7935635056
293	0.7932811195
294	0.7925985871
295	0.7924139121
296	0.7921234958
297	0.7915224063
298	0.7912592688
299	0.7909641642
300	0.7904001621
301	0.7893828837
302	0.7889269701
303	0.7885126302
304	0.7878758941
305	0.7872526383
306	0.7870029645
307	0.786749066
308	0.7863099924
309	0.7861442399
310	0.7859045444
311	0.785353454
312	0.7850994894
313	0.7844792258
314	0.7842038413
315	0.7839599239
316	0.7837398852
317	0.7835916121
318	0.7830241763
319	0.782056991
320	0.7807417853
321	0.7805696807
322	0.7800302602
323	0.7798164702
324	0.7795042913
325	0.7793419121
326	0.7789266475
327	0.7787612746
328	0.7782025268
329	0.7780816301
330	0.777537377
331	0.7773226846
332	0.7766716727
333	0.7764312392
334	0.7762082498
335	0.7756156938
336	0.775010708
337	0.7743845178
338	0.7741988222
339	0.7740021592
340	0.7738241922
341	0.7736783343
342	0.7731005176
343	0.7729188227
344	0.7722573747
345	0.7716761815
346	0.7714375483
347	0.7709932101
348	0.7703938856
349	0.7700210738
350	0.7694462176
351	0.7692733284
352	0.7687416521
353	0.7684858718
354	0.768242241
355	0.7680554717
356	0.7678792948
357	0.7671386205
358	0.766991291
359	0.766479902
360	0.7660065791
